text,label,theme,sentiment,date,source,Facility
I would like to share something that didn't happen in this hospital.  It happen at Sutter Hospital Ed at Mills Peninsula Hospital at 1501 Troudale Drive.  My prescription eyeglass was lost.  I remember someone took it off when I had the MRI May 22-23 2020 I called the Mills Peninsula even the security but it was not release to me.  I couldn't walk and find it hard to go to eye doctor.  Please help me find my prescription eyeglass -  Benjamin Mccaow  80 Arlington Drive  South San Francisco 94080,4,"Cleanliness (specifically, loss of personal item)",-0.5,2/17/2025,X/Twitter,Kaiser Permanente
"The doctors OB - Dr. Berquiles) and the anesthesiologist + RN's in L+D were absolutely incredible. I felt 100% confident that I was receiving excellent care. They were kind, informative + appeared to have excellent experience, instilling confidence along me to relax trust that the birth would go smoothly. I was less impressed with the post partum unit. A few RN's were great but the majority of the RN's were stand offish and seemed less invested in supporting and more interested in (unreadable)",3,Staff,0,8/29/2024,Google,Kaiser Permanente
"The labor and delivery nurses were very helpful and kind, making me feel very comfortable during delivery.  On the other hand some of the postpartum nurses did not.  During the last night after delivery my son was spitting up fluid and choking so I called on the phone.  The nurse said, ""It is normal"" and hung up and didn't come to check on us for an hour.  Being a first time mom I was frightened and was very hurt that this had happened.  The other nurses were great after I requested a new one.",3,Emotional Support,0,9/21/2024,X/Twitter,Kaiser Permanente
"I was shocked the first day when the nurse who was helping me walk down the hall became agitated at the cleaning lady who was not wearing protective clothes while entering a Covid-19 patient room.  Later the same cleaning lady came into my room.  I told staff to only let drs & nurses into my room, it was not cleaned for 5 days but I thought it was safer.  I was later told there were 25 patients on my floor and 5 had Covid.  To think that some workers did not know protocl was very frightening!",4,Safety,-0.5,3/30/2025,X/Twitter,Kaiser Permanente
1) All of the nurses were excellent except 1 of them.  She seemed overwhelmed and left me in the bathroom alone less than a day post partum from a C-section.  I did not feel comfortable having her care for me after that and requested not to have her again.  2) The day we were leaving we felt very rushed to get out.  We were waiting instruction from the people for our son because he had to be put on formula and they brought in the wheelchair to pressure us to leave  We hadn't even packed yet!,3,"Staff, Communication, Emotional Support, Safety",0,4/2/2025,Yelp,Kaiser Permanente
"The emergency rm found 5 broken ribs and failed to failed to even consider other complaints within the following 4 wks my PCP found a spleen had been nipped, multiple fractures in the outer ribs, and a compression fracture in the T-11 vertebra.  I feel the radiologist saw the 5 broken rib + just said well that must be all.  For the next 8 days no one listened that I had other pains not being addressed.  Their was other unacceptable items but I feel nothing will be heard anyway 209 ph 6041138",4,"Safety, Communication, Emotional Support (Other)",-0.5,3/1/2025,X/Twitter,Kaiser Permanente
I asked to be taken by wheelchair to where I was to be picked up- request denied!  I had to wait at entrance leaning on pole for my ride are you kidding me!  I was released the day after surgery with no pain medication!  The following morning I was rushed to emergency at Novato Community hospital where I spent 4 days recovering.  I was released too soon from CPMC I was in serious pain.  This hospital stay & care was shameful.  Will never go there again & have told my story to many people!,4,"Safety, Pain Management",-0.5,3/21/2025,X/Twitter,Kaiser Permanente
"Due to COVID 19 your hospital would not allow my husband and I in the room with our child at the same time, instead we had to sleep in our car in shifts to trade off and on from being with our son!!!  We lived an hour away and wanted to be by his side together.  We could have spread COVID more by us coming and going every few hours switching out than if we were both allowed to stay in his room with him, you guys made this already stressful time even more stressful and very frustrating!!!",4,Emotional Support,-0.5,9/7/2024,Yelp,Kaiser Permanente
"The care I received was terrible  It was wrong from the beginning starting from the emergency room, they let me drink contrast they scat my private area, they should let me know first.  I only want to scan my stomach that is where my problem is and then surgeon Vanessa Talbott, Michael Zoleel and resident Shana McClain misdiagnosed, mistreated me  These three had mental health they said I cannot eat  McClain told me she's out of temper, they are going to do a test on me, use me as study",4,"Emotional Support, Communication, Pain Management, Medical Treatment (Mistreatment)",-0.5,12/5/2024,Yelp,Kaiser Permanente
"All my care from ER to floor to transfer was excellent.  This was an unexpected 1st hospitalization for me.  The weak point was initial contact in ER.  I have visited ER twice w/in a month & both times found the intake folks unfriendly, unengaged, uninformative ... distracted by their interactions w/ each other.  Being the 1st point of contact for someone who is likely scared or unfamiliar, these positions are really important to create a caring, hopeful atmosphere.  Thanks for asking!",3,Staff (specifically Initial Contact in ER),0,12/22/2024,Yelp,Kaiser Permanente
"One of your nurses, a traveling nurse out of state is arrogant, not focus, & does not listen attentively. The charge nurse is not cooperative bias & seems to be hiding something. I was being attended by the traveling nurse on day when a mistake was made to pulling the (unreadable) table that contain fluids for my gallbladder. I scream for several minute while the nurse emptied the (unreadable). The charge nurse office is just a door stop for my room. Did not bother to come to help me.",4,"Staff (specifically, Bedside Manners and Communication)",-0.5,7/7/2024,X/Twitter,Kaiser Permanente
"The care at CPMC was the best care I've received at a hospital.  I am being treated for breast cancer.  This surgery was not part of treatment but I was cared for with the most dignity & professionalism possible.  Staff from registration to doctors, nurses, room service, housekeeping provided the highest level of care possible!  I would like to thank them all personally for all they do everyday.  Especially during this time of Covid-19 pandemic  They are heroes!  Signed Della Medaio",1,Staff,0.5,5/16/2025,X/Twitter,Kaiser Permanente
HVAC system is bad!!  It's a new bldg.  But either freezing cold or ! 87 degrees one night when I asked to have the room warmed.  Food = 8 pm Wed fasting at home 8 am Friday fed = 32 hrs later  Sure that this affected my heart rhythm after ablation - I was shaking b4 breakfast on Friday  I asked for applesauce nurse save me apple juice which burned my stomach - nothing was available.  Nurse didn't explain how to pre-order food!  Also no gluten free bread or noodles were available.,4,"Facilities (HVAC system), Food, Communication (food ordering and explanation)",-0.5,4/11/2025,Google,Kaiser Permanente
"We were very happy with everyone except the (Xochil?) nurse from 7 - 10 pm on 2/13/20.  She disregarded my pain and wouldn't give me pain meds, We believe she also gave me a misoprostol dose too soon which caused delivery complications & expedited labor.  My contractions were still more than 3 in 10 minutes when she came on shift and gave me another dose even after I questioned it because of my contraction frequency.  Thank you to everyone else who helped deliver our little girl!",3,Pain Management,0,7/20/2024,Google,Kaiser Permanente
"To treat pneumonia, I was given antibiotic intravenously;  I was not aware that diarrhea might be one of its side effects.  When I was transferred to the hospital, I had another session of antibiotic.  Unfortunately I was not able to reach the toilet seat in the bathroom, and it soiled the bathroom floor.  MY SUGGESTION:  When I was transferred to the hospital the nursing staff should equip me with a ""female pad.  A nurse's aide and I cleaned the bathroom floor with paper towels.",4,Cleanliness,-0.5,9/16/2024,X/Twitter,Kaiser Permanente
"During the night of my stay a patient going through heroin withdrawals was put into the other bed in my room.  The patient was loud, obnoxious and self medicated while in the room.  I was able to hear how he shared needles with his wife and cleaned needles with lemon juice and saliva.  He should have been isolated.  The doctor treating me wanted me to stay 2-3 nights.  After one night with the person I told the doctors and nurse I was going home.  THis never should have happened.",4,Safety,-0.5,10/5/2024,Google,Kaiser Permanente
Button to call RN broke down twice.  Unnecessary buzzers went off all the time.  Faucet water was way too but - took days to get it fixed.  Communication devices RNs wore around their necks did not work most of the time.  Basically systems did not work.  I have been hospitalized before - this stay was very (unreadable) no problem w/ my other hospital stays.  Lost gloves in the emergency room before admittance to hospital.  My husband was not permitted to bring me an extra pair.,4,Other (Broken equipment and communication issues),-0.5,9/13/2024,Yelp,Kaiser Permanente
"I really liked how cheerful/hopeful the nurses were especially nurse Becky.  They gave the facts (even when facts were grim) without losing hope or acting depressed.  Also when they learned that my baby loved music, they made a note on his chart so that the new shift of nurses knew, too, and then they would play music to calm him when he was agitated.  Thanks for all you did for us during that difficult time.  Justin is back to normal, bouncy 1-yr.-old boy & doing great!  Becky",1,Emotional Support,0.5,11/30/2024,Google,Kaiser Permanente
"We (my daughter, husband and I) really feel like we got exceptional care and had the best birthing experience ever!  (being our 1st, so happy with our experience)  Nurses + doctors were amazing, above & beyond  From attachment - Acknowledgement to following staff  - Dr. Carpio  Dr Howard  Dr Blankenship - Maria (lactation) - Marie (nurse) - Denise Chelsea Jennifer Montoya Terry  These staff members made our experience more than we could have asked for.  Thank you and god bless.",1,Staff,0.5,4/28/2025,Yelp,Kaiser Permanente
"The hospital staff of both CPMC facilities in which I received care were professional & kind. Unfortunately the hospitals seemed understaffed.  I waited hours in an ER before being seen, staff forgot to offer me breakfast when I could eat for the 1st time in 2 days.  I shared a room w/ a non-verbal woman who moaned & yelled throughout the night & (unreadable) waiting close to an hour for transport to the door at discharge  I finally just walked out of my like had been waiting.",3,"Staff, Wait Time, Communication, Food, Facilities",0,4/23/2025,Google,Kaiser Permanente
1.  Covid has been hard on everyone and I appreciate the care provided  However ...  Nurses could not administer a comfortable IV - took 5 tries!  Nurse provides wrong information about wound care.  once discharged I nearly returned to ER due to nurse advice!  Partner food plan was HORRIBLE  Doctors provided attitude when asked to leave my room for having dry coughed multiple times on and around my baby!  Overall the old hospital was better and staff were far better informed!,3,"Emotional Support, Staff, Communication, Food",0,2/6/2025,Google,Kaiser Permanente
"9-3-20  On the day of my discharge I was abandoned after morning (around 9:30 - 10 or so)  I even needed help due to a bowel accident.  I tried to make it to the commode (very full by the way) but was unable.  Requested help fr. nurses, nobody came.  It took me 45 min to clean myself with paper towels.  My surgeon came in.  I asked to go home immediately.  I felt unsafe  There were 2 other incidents that day as well.  I will discuss these w/ ""survey employees"" if interested.",4,Safety,-0.5,8/10/2024,Yelp,Kaiser Permanente
"Great job - I had a kiwi sized tumor removed and I was up and about the next day.  I could have went home the 3rd day but made me stay because my dr. would not be back until Mon. and that was Sat.  Parking was very bad.  Sutter billing is bad!  The billing date does not gert to my house until 9-10 days later. If it has a due date is usually is 2-3 days after it arrives or due now. As a retired senior, budgeting is very important and it would be nice to have more time to pay.",3,Billing,0,11/18/2024,Yelp,Kaiser Permanente
"One event was extraordinarily stressful and traumatic.  When I was checked in and ready to go upstairs for surgery - a few nurses (one male) were checking my temperature and talking about me in the hall and I could hear the conversation as they discussed that I shouldn't go forward I was very (unreadable) as I had already been canceled once for covid (unreadable).  One nurse took over and was as helpful.  She took care of me, (unreadable) and I was able to have the surgery!",3,Emotional Support,0,6/7/2025,X/Twitter,Kaiser Permanente
"The labor & delivery rn Marion at Sutter Santa Rosa was an incredible advocate for me when I delivered my twins.  She anticipated my needs & ensured they were met in timely manner.  Her skills bedside manner made me feel at ease during a vulnerable time.  Dr. Matthew Pride delivered my twins & was an exceptional OB, both my husband & I were very impressed with his skill approachability & are so grateful our boys were born safely under the care of the entire time at sutter.",0,Emotional Support (Staff),1,12/13/2024,Google,Kaiser Permanente
"I was not happy. My wound was not covered my room was not clean and I did not have my sheets changed. I'm a nurse, and was a huge event with no one there with me, and an major pain medication. Oxycodone did not agree with me and fund out when home caused major anxiety etc. Dr. Sluzar is amazing, and surgery part was awesome it was in patient that was issue. Travel nurses were the best, but I was concerned they had been treating covid patients, then me. Laurie Lankford LVNI",3,Cleanliness,0,4/15/2025,Google,Kaiser Permanente
"During my stay I ahd multiple doctors, nurses and rooms.  With the exception of my surgeon and one nurse and a doctor in ER (who were fabulous) all nurses lacked compassion and treated me as if I didn't exist.  Language differences were difficult.  They seemed over burdened or just lacked empathy.  One doctor was arrogant beyond words.  Room was a pig style and never cleaned.  Obviously I survived but will do all in my power to never returned to Sutter Solano Vallejo.",3,"Emotional Support, Bedside Manners, Communication (Language Differences)",0,10/12/2024,X/Twitter,Kaiser Permanente
"1)  Had a picc line for antibiotic infusion & blood draws.  Nurses, in some cases & in my opinion, were not applying necessary antiseptic precautions to prevent exposure to contamination.  2)  My IV antibiotic was changed by hospital doctor, & I was not informed of what the new drug was to be.  Only because I asked, I learned it was ciprowhich very recently caused me to have a potentially serious reaction.  I refused the cipro IV & another antibiotic was administered.",4,"Emotional Support, Pain Management, Cleanliness",-0.5,11/10/2024,Yelp,Kaiser Permanente
"I was admitted to the hospital via ambulance, with a concussion, a fractured pelvis and sacrum, and lack of short term memory.  I needed an advocate, but my husband was not allowed to come into the hospital, nor did they communicate with him or respond to his calls.  The least they could've done is FaceTime with him during the doctors' visits and come to the care to brief him at discharge.  It was such a frightening experience to be in the hospital with no one I knew.",4,Emotional Support,-0.5,4/7/2025,Google,Kaiser Permanente
"Overall wonderful care. Just one incident that unfortunately became a big deal. After returning from physical therapy there was a long delay in getting reconnected to my IV and PCA access. I pressed my call light 3 times. Was told by the person who responded that my nurse would be with me ASAP. Almost an hour later, when my pain escalated to 10/10 my nurse arrived. She had never received the message. I was in pain. This lack of communicated caused me extreme distress.",3,Communication,0,4/27/2025,X/Twitter,Kaiser Permanente
"We will never go any place else!  This hospital staff saved my life.  After 1 wk in ICU & another wk on other floors, I was overwhelmed at an incredible care & courtesy throughout.  The nursing staff was so above par (I have worked in a county hospital in my younger years, so have witnessed much).  They deserve every praise.  Housekeeping & kitchen/dining staff & PT & OT  were all wonderful too!  You can tell it is a culture that is expected by Memorial.  keep it up!",0,Staff,1,8/8/2024,X/Twitter,Kaiser Permanente
"I visited my internist, Dr. Hema Shah, last Monday July 6th, 2020.  She wishes that I have a complete panel of tests: blood, urine, etc., as well as a bone density test to check for osteoporosis.  I will also see my surgeon, Dr. Kris Okumu this coming Thursday, July 16th.  Unfortunately, his office is in Daly City, so I will switch to Dr. Paul E Hughes in San Mateo - ten minutes from my home.  Both doctors are excellent.  It's the distance that has made my decision.",3,"Emotional Support (Dr. Hema Shah and Dr. Kris Okumu are mentioned positively, but the comment is more about switching due to location, not quality of care)
Other (The comment does mention a change in doctors due to location, but it doesn't fit neatly into any of the provided categories)",0,9/11/2024,Google,Kaiser Permanente
"We had the best experience delivering our baby.  Krystel Wilkins, Paris Maloof-Bury, Dr. Stohrer & Lynette Cabral are amazing!  We could not have gone unmedicated w/o the help of nurse Lynette - she helped us so much!  As far as postpartum overnight nurse - I felt we didn't get as great of care.  It is our 2nd baby, so we felt we semi knew what we were doing.  But compared to L&D and postpartum it wasn't the same level of care.  The postpartum day nurse was great!",3,Staff,0,7/3/2024,Yelp,Kaiser Permanente
"Overall I received excellent care, but I was a little upset the first two days of my stay because it felt like the doctors (especially one of the surgeons) weren't listening to me.  They insisted I didn't have an obstruction and should take a CT scan to diagnose me, but I refused - I've had six obstructions in my life so I know what they feel like.  I know they were just trying to do what they thought was best, but I wish they wouldn't have dismissed me so easily.",3,Communication,0,9/6/2024,Google,Kaiser Permanente
"The visit was not good.  I was never offered a warm towel to wash myself, given clean gown daily, bed changed or made up daily and I was not allowed to get up for several days and no sponge bath or fresh towels for self bathing.  I had use of only one arm and no help for eating or cleaning.  Told I had to be discharge after several days only in bed.  Weak!!  I will to want to be treated at CPMC again.  I am happy to speak with a CPMC employee about my experience",3,"Cleanliness, Bedside Manners, Pain Management",0,11/3/2024,Yelp,Kaiser Permanente
"X-ray staff - one of the staff members treated me as if I was a combative patient when I reached down to support my in pain leg position when they removed supports. She harshly complained that I needed to keep my arms on the chest or I might have them "" (meaning hurt techs) I told her why I had to move & that I would put my arms on my chest when they took the x-ray.  She just repeated her command - x-ray tech understood & was very nice & helpful during x-rays.",3,"Staff (specifically, Bedside Manners)",0,11/1/2024,X/Twitter,Kaiser Permanente
"Lab tests were for baby - bilirubin checked 3-4 times.  There was a noticable difference in the lab techs.  Some had a lot more finesse & made baby cry much less than the others.  FANTASTIC midwife : Robin and the most amazing L&D nurse, Elizabeth.  L&D experience was just how I wanted it.  Natural and I felt so supported by nurse & midwife.  Post-op room could use some updating to rolly table, and the bed had a non-adjust decline at feet which increased edema",3,"Emotional Support (Midwife: Robin, L&D Nurse: Elizabeth), Facilities (Post-op room)",0,4/29/2025,X/Twitter,Kaiser Permanente
